id,sentence
1,Manjari diyalil na isab hi Īsa in hantang sin pamarinta sin Tuhan.
2,"Laung niya, “Bang dumatung na in waktu sin pagbalik ku in hantang sin pamarinta sin Tuhan, biyaꞌ sapantun sin kahālan kumugdan ha hangpuꞌ budjang."
3,Amun in nagdarā lampulampu pakaniya-pakaniya madtu mamāk ha pangantin usug.
4,"In lima budjang dupang, ampa in kaibanan lima, taga akkal."
5,In manga budjang dupang nagdā sadja sin lampu nila.
6,Walaꞌ sila dimā dugaing lana hipaghipuꞌ bang maubus na in lana sin lampu nila.
7,"In lima taga akkal, dimā sila lana dugaing dayn sin luun sin lampu nila."
8,"In pangantin usug biyāk nila, natarasaw in datung."
9,"Hangkan ha salugay nila nagtatagad, kiyaruꞌ sila sartaꞌ nakatūg na sila."
10,Sakali naabut mayan tungaꞌ dūm awn na imulak.
11,"Agi, ‘Yan na in pangantin usug!"
12,Kari na kamu bāk.’
13,Nakabatiꞌ na in hangpuꞌ budjang sartaꞌ diyayaw nila in laga sin manga lampu nila.
14,In manga lampu sin lima budjang dupang kiyaubusan na lana.
15,"Laung nila ha lima budjang taga akkal, ‘Dihili niyu ba kami lana sabab mapūng na in manga lampu-lampu namuꞌ ini.’"
16,"‘Diꞌ kamu karihilan namuꞌ,’ laung sin manga budjang taga akkal."
17,‘Sebab diꞌ makainihan in lana ha kātuꞌniyu katān.’
18,‘Kadtu na kamu pamī pa tinda.’
19,Miyadtu na pa tinda in manga budjang dupang namī lana.
20,Ha saꞌbu nila walaꞌ duun dimatung na in pangantin usug.
21,In lima budjang taga akkal amu in duun namāk ha pangantin usug.
22,Nakaagad ha pangantin usug pa bāy pagtiyaunan.
23,Pagꞌubus nila na mayan simūd tiyambul na in lawang sin bāy.
24,Bukun malugay dimatung in lima budjang dupang.
25,"Nagtawag na sila, laung nila, ‘Ū Tuwan, ukabi ba kami.’"
26,"Sagawaꞌ, in sambung sin pangantin usug, laung niya, ‘Tantu diꞌ ta kamu ukaban sabab diꞌ ta kamu kaingatan!’"
27,"Laung hi Īsa, “Na, hangkan jaga kamu tuud, sabab diꞌ niyu kaingatan in adlaw iban waktu sin pagbalik ku.”"
28,"Laung hi Īsa, “In hantang sin pagbalik ku mari biyaꞌ yan sapantun sin kahālan sin hambuuk tau nagsakap tumulak.”"
29,"Sūng mayan siya tumulak, piyakawaꞌ niya in manga tindug niya."
30,Ampa niya piyamīn kanila in manga altaꞌ niya.
31,In taud sin pilak piyamīn niya dayn hambuuk pa hambuuk.
32,Piyapagtungud niya iban sin ingat-kapandayan nila magꞌusaha.
33,In hambuuk tindug binīnan niya lima ngaibu pilak.
34,In hangka-tau binīnan niya duwa ngaibu pilak.
35,In hambuuk binīnan niya hangibu pilak.
36,"Pagꞌubus, ampa siya timulak."
37,"In tindug amu in kiyabīnan lima ngaibu pilak, magtūy niya piyagꞌusaha in pilak binīn kaniya."
38,Nakauntung siya isab lima ngaibu pilak.
39,"In tindug kiyabīnan duwa ngaibu pilak, magtūy da isab piyagꞌusaha niya in pilak binīn kaniya."
40,Nakauntung isab siya duwa ngaibu pilak.
41,"In tindug amu in kiyabīnan hangibu pilak, kimaliꞌ siya lupaꞌ."
42,Liyubung in pilak sin nakuraꞌ niya.
43,Limugay mayan dimatung na in nakuraꞌ nila.
44,Piyatawag na sila sin nakuraꞌ nila.
45,Iyasubu na pakaniya-pakaniya bang iyunu nila in pilak binīn niya kanila.
46,In tindug amu in kiyabīnan lima ngaibu pilak miyawn na imungsud sin pilak.
47,"Laung niya ha nakuraꞌ niya, ‘Tuwan, yari na in lima ngaibu pilak bakas mu binīn kākuꞌ.’"
48,‘Yari pa isab awn dugaing lima ngaibu pilak untung sin sīn mu piyagꞌusaha ku.’
49,"Simambung in nakuraꞌ niya, laung niya, ‘Marayaw tuud in nahinang mu.’"
50,‘Ikaw na yan in tindug taga kapūsan iban kapangandulan.’
51,‘Kapangandulan kaw magparuli sin altaꞏ sibiꞌ-sibiꞌ.’
52,‘Hipangandul ku kaymu in altaꞏ ku labi dakulaꞌ dayn duun.’
53,‘Kari kaw bat kaw kumuyag biyaꞌ kākuꞌ.’
54,Simunud na isab miyawn in tindug amu in bakas binīnan duwa ngaibu pilak.
55,"Laung niya ha nakuraꞌ niya, ‘Tuwan, yari na in duwa ngaibu pilak bakas mu binīn kākuꞌ.’"
56,‘Yari pa isab awn dugaing duwa ngaibu pilak untung sin sīn mu piyagꞌusaha ku.’
57,"Simambung in nakuraꞌ niya, laung niya, ‘Marayaw tuud in nahinang mu.’"
58,‘Ikaw na yan in tindug taga kapūsan iban kapangandulan.’
59,‘Kapangandulan kaw magparuli sin altaꞌ sibiꞌ-sibiꞌ.’
60,‘Hipangandul ku kaymu in altaꞌ ku labi dakulaꞌ dayn duun.’
61,‘Kari kaw bat kaw kumuyag biyaꞌ kākuꞌ.’
62,Miyawn na isab in tindug amu in bakas binīnan hangibu pilak.
63,"Laung niya, ‘Tuwan kaingatan ku in ikaw yan diꞌ maluuy ha pagkahi mu.’"
64,‘Sebab anyayahun mu sadja sila.’
65,‘Magdayaw parasahan sadja kaw sin unu-unu walaꞌ mu piyaghulassangsaan.’
66,‘Amu in pagꞌiyanun magꞌani kaw sin bukun mu tiyanum.’
67,"In aku mabugaꞌ kaymu, hangkan kiyalian ku in pilak mu."
68,Ampa ku liyubung ha lawm lupaꞌ.
69,Yari na in pilak bakas binīn mu kākuꞌ.’
70,"Simambag in nakuraꞌ niya, laung niya, ‘Ikaw na yan in tindug way kapūsan iban lisuan!’"
71,‘Bukun ka biyaꞌ na sin agi mu.’
72,‘In aku magdayaw parasahan sadja sin unu-unu walaꞌ ku piyaghulas-sangsaan.’
73,‘In aku magꞌani sadja sin bukun ku tiyanum?’
74,"Pagga mu yan kiyaiingatan, maytaꞌ mu walaꞌ biyutang ha bangku in pilak piyangandul ku kaymu?"
75,Supaya pagbalik ku mari makawaꞌ ku magbalik in pilak ku iban sin anak niya?
76,Pagꞌubus yadtu ampa namung in nakuraꞌ ha manga kaibanan tindug niya.
77,"Laung niya, ‘Kawaa niyu in pilak yan dayn kaniya.’"
78,‘Niyu dihilan madtu pa hangka-tau amu in taga hangpuꞌ ngaibu pilak.’
79,Karnaꞌ hisiyu-siyu in matuyuꞌ magpasūng sin altaꞌ kiyarihil kaniya dugangan pa.
80,Maglabi-labihan pa in hirihil kaniya.
81,"Hisiyu-siyu in way tuyuꞌ, minsan in maniyuꞌ-tiyuꞌ altaꞌ niya kawaun da dayn kaniya."
82,In tindug amu in way kapūsan yan larukan niyu madtu pa lawm katigidluman.
83,Didtu siya magtangis iban sumandal sin kasiksaan makalap.
84,Manjari pagbulat mahinaat nagꞌisun na in manga katān nakuraꞌ sin kaimaman iban sin manga nagtatau-maas ha hulaꞌ.
85,Biyaꞌ diin in pagpatay kan Īsa.
